# This text file represents an airfoil's polar(s) (coefficients) that can be imported into Ashes.
# One or more polars can be imported. Each polar is given for a particular Reynolds number (Re).
# Thus, polars for more than one Reynolds numbers can be given in this file.

# Formatting rules (conventions): 
#  - the keyword 'Airfoil name' must be found in the file and the airfoil name must be given 
# on the line immediately after the line with (only) the keyword (except for comment lines).
#  - the airfoil database cannot already have an airfoil with this name (the comparison is made not considering case nor whitespace).
#  - if the name is already found in the airfoil database, an error message will be given and the file is not imported.
#  - the keyword 'Re and corresponding polar' must preceed each Reynolds number and corresponding polar data set.
#  - the first (non-comment) line after the keyword must contain only the Reynolds number.
#  - each preceding line must contain (and in this order) the angle of attack (AoA) in degrees, the lift coefficient,
# the drag coefficient, and finally the moment coefficient.
#  - the moment coefficient is referenced to the quarter chord point (as per convention).
#  - the angle of attack (AoA) must be strictly increasing.
#  - the coefficients cannot be negative and must be smaller than 5 (in order to catch typos).
#  - blank lines between the keyword and the data is NOT allowed nor are blank lines within the 'block of data.
#  - a polar for a Reynolds number can only be given once.
#  - if the Reynolds number corresponding to a polar is unknown, 0 or a negative number is given.
#  - if there is a polar with an unknown Reynolds number, then there can be no other polar in the file.

Airfoil name
NREL's S808 Airfoil

Re and corresponding polar
# Reynolds number (-)
1.000E+03
# Corresponding polar
# AoA 	Cl 	Cd 	Cm
# (deg) 	(-) 	(-) 	(-)
   -14.60 	  -0.313 	  0.1774 	 -0.0072
   -14.40 	  -0.311 	  0.1778 	 -0.0068
   -14.20 	  -0.296 	  0.1730 	 -0.0082
   -14.00 	  -0.294 	  0.1733 	 -0.0077
   -13.80 	  -0.279 	  0.1689 	 -0.0090
   -13.60 	  -0.272 	  0.1673 	 -0.0092
   -13.40 	  -0.263 	  0.1655 	 -0.0096
   -13.20 	  -0.249 	  0.1619 	 -0.0107
   -13.00 	  -0.245 	  0.1616 	 -0.0104
   -12.80 	  -0.231 	  0.1581 	 -0.0115
   -12.60 	  -0.219 	  0.1551 	 -0.0125
   -12.40 	  -0.210 	  0.1533 	 -0.0129
   -12.20 	  -0.202 	  0.1523 	 -0.0131
   -12.00 	  -0.186 	  0.1486 	 -0.0146
   -11.80 	  -0.172 	  0.1455 	 -0.0159
   -11.60 	  -0.158 	  0.1428 	 -0.0172
   -11.40 	  -0.143 	  0.1403 	 -0.0186
   -11.20 	  -0.129 	  0.1380 	 -0.0201
   -11.00 	  -0.109 	  0.1339 	 -0.0229
   -10.80 	  -0.086 	  0.1301 	 -0.0265
   -10.70 	  -0.071 	  0.1275 	 -0.0290
   -10.40 	  -0.032 	  0.1203 	 -0.0357
   -10.20 	  -0.024 	  0.1189 	 -0.0359
   -10.00 	  -0.017 	  0.1176 	 -0.0360
    -9.80 	  -0.010 	  0.1163 	 -0.0361
    -9.60 	  -0.002 	  0.1150 	 -0.0362
    -9.40 	   0.005 	  0.1138 	 -0.0362
    -9.20 	   0.012 	  0.1125 	 -0.0362
    -9.00 	   0.019 	  0.1113 	 -0.0362
    -8.80 	   0.026 	  0.1101 	 -0.0361
    -8.60 	   0.033 	  0.1090 	 -0.0360
    -8.40 	   0.039 	  0.1079 	 -0.0359
    -8.20 	   0.046 	  0.1067 	 -0.0358
    -8.00 	   0.053 	  0.1057 	 -0.0356
    -7.80 	   0.059 	  0.1046 	 -0.0354
    -7.60 	   0.066 	  0.1036 	 -0.0352
    -7.40 	   0.072 	  0.1026 	 -0.0349
    -7.20 	   0.078 	  0.1017 	 -0.0346
    -7.00 	  -0.042 	  0.1141 	 -0.0109
    -6.80 	  -0.079 	  0.1168 	 -0.0061
    -6.60 	  -0.083 	  0.1161 	 -0.0052
    -6.40 	  -0.092 	  0.1160 	 -0.0035
    -6.20 	  -0.089 	  0.1147 	 -0.0029
    -6.00 	  -0.098 	  0.1147 	 -0.0010
    -5.80 	  -0.097 	  0.1137 	 -0.0002
    -5.60 	  -0.097 	  0.1127 	  0.0008
    -5.40 	  -0.105 	  0.1125 	  0.0026
    -5.20 	  -0.110 	  0.1120 	  0.0042
    -5.00 	  -0.111 	  0.1111 	  0.0053
    -4.80 	  -0.114 	  0.1105 	  0.0068
    -4.60 	  -0.117 	  0.1099 	  0.0084
    -4.40 	  -0.122 	  0.1094 	  0.0101
    -4.20 	  -0.127 	  0.1090 	  0.0118
    -4.00 	  -0.134 	  0.1086 	  0.0137
    -3.80 	  -0.141 	  0.1082 	  0.0156
    -3.60 	  -0.150 	  0.1080 	  0.0177
    -3.40 	  -0.160 	  0.1077 	  0.0197
    -3.20 	  -0.168 	  0.1074 	  0.0217
    -3.00 	  -0.175 	  0.1070 	  0.0235
    -2.80 	  -0.181 	  0.1065 	  0.0252
    -2.60 	  -0.188 	  0.1061 	  0.0269
    -2.40 	  -0.194 	  0.1057 	  0.0286
    -2.20 	  -0.202 	  0.1052 	  0.0303
    -2.00 	  -0.210 	  0.1048 	  0.0321
    -1.80 	  -0.218 	  0.1044 	  0.0339
    -1.60 	  -0.226 	  0.1039 	  0.0356
    -1.40 	  -0.234 	  0.1034 	  0.0374
    -1.20 	  -0.242 	  0.1029 	  0.0392
    -1.00 	  -0.252 	  0.1023 	  0.0411
    -0.80 	  -0.262 	  0.1018 	  0.0432
    -0.60 	  -0.274 	  0.1012 	  0.0454
    -0.40 	  -0.286 	  0.1006 	  0.0476
    -0.20 	  -0.294 	  0.0998 	  0.0492
    -0.00 	  -0.295 	  0.0991 	  0.0501
     0.20 	  -0.298 	  0.0984 	  0.0511
     0.40 	  -0.302 	  0.0977 	  0.0523
     0.60 	  -0.307 	  0.0969 	  0.0536

Re and corresponding polar
# Reynolds number (-)
5.000E+04
# Corresponding polar
# AoA 	Cl 	Cd 	Cm
# (deg) 	(-) 	(-) 	(-)
   -20.00 	  -0.572 	  0.1957 	 -0.0133
   -19.80 	  -0.558 	  0.1953 	 -0.0131
   -19.60 	  -0.554 	  0.1931 	 -0.0142
   -19.40 	  -0.557 	  0.1897 	 -0.0161
   -19.20 	  -0.544 	  0.1891 	 -0.0159
   -19.00 	  -0.539 	  0.1870 	 -0.0169
   -18.80 	  -0.543 	  0.1837 	 -0.0188
   -18.60 	  -0.529 	  0.1832 	 -0.0185
   -18.40 	  -0.524 	  0.1811 	 -0.0194
   -18.20 	  -0.529 	  0.1777 	 -0.0212
   -18.00 	  -0.515 	  0.1771 	 -0.0209
   -17.80 	  -0.508 	  0.1754 	 -0.0215
   -17.60 	  -0.516 	  0.1717 	 -0.0237
   -17.40 	  -0.501 	  0.1711 	 -0.0232
   -17.20 	  -0.492 	  0.1697 	 -0.0235
   -17.00 	  -0.500 	  0.1663 	 -0.0254
   -16.80 	  -0.487 	  0.1653 	 -0.0253
   -16.60 	  -0.477 	  0.1641 	 -0.0253
   -16.40 	  -0.477 	  0.1616 	 -0.0264
   -16.20 	  -0.475 	  0.1594 	 -0.0272
   -16.00 	  -0.462 	  0.1585 	 -0.0269
   -15.80 	  -0.458 	  0.1566 	 -0.0275
   -15.60 	  -0.466 	  0.1536 	 -0.0290
   -15.40 	  -0.449 	  0.1529 	 -0.0284
   -15.20 	  -0.441 	  0.1515 	 -0.0285
   -15.00 	  -0.445 	  0.1489 	 -0.0296
   -14.80 	  -0.439 	  0.1472 	 -0.0299
   -14.60 	  -0.427 	  0.1461 	 -0.0296
   -14.40 	  -0.422 	  0.1443 	 -0.0299
   -14.20 	  -0.435 	  0.1412 	 -0.0314
   -14.00 	  -0.417 	  0.1405 	 -0.0307
   -13.80 	  -0.407 	  0.1392 	 -0.0305
   -13.60 	  -0.403 	  0.1374 	 -0.0307
   -13.40 	  -0.417 	  0.1345 	 -0.0320
   -13.20 	  -0.399 	  0.1336 	 -0.0313
   -13.00 	  -0.388 	  0.1323 	 -0.0310
   -12.80 	  -0.383 	  0.1307 	 -0.0310
   -12.60 	  -0.391 	  0.1282 	 -0.0318
   -12.40 	  -0.386 	  0.1265 	 -0.0318
   -12.20 	  -0.372 	  0.1254 	 -0.0312
   -12.00 	  -0.364 	  0.1240 	 -0.0310
   -11.80 	  -0.363 	  0.1222 	 -0.0310
   -11.60 	  -0.379 	  0.1195 	 -0.0319
   -11.40 	  -0.366 	  0.1183 	 -0.0313
   -11.20 	  -0.352 	  0.1172 	 -0.0307
